0,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
436,448.4606323,436,296.7201843,436,223.3824158,436,179.1094971,436,147.1929016,436,109.4014206,436,68.75787354,436,34.59700394,436,11.75287437,436,5.51652956,436,2.197424173,436,0.2916848958,
437.0700073,475.3744202,437.0700073,313.1457214,437.0700073,237.4057312,437.0700073,189.345108,437.0700073,156.4281769,437.0700073,115.7996826,437.0700073,73.78304291,437.0700073,37.94961929,437.0700073,12.5913496,437.0700073,5.537707329,437.0700073,2.578768969,437.0700073,0.1750257611,
438,495.1098633,438,328.1867065,438,247.9232941,438,194.9603882,438,161.9009247,438,120.468811,438,75.65071106,438,38.769207,438,13.36822987,438,6.276554585,438,2.633037806,438,0.160988465,
439.0700073,518.9393921,439.0700073,350.4714355,439.0700073,257.4084167,439.0700073,210.6040802,439.0700073,173.241394,439.0700073,127.8279877,439.0700073,79.86048126,439.0700073,39.92067337,439.0700073,14.17374706,439.0700073,6.198593616,439.0700073,3.027284622,439.0700073,0.1603495628,
440,545.071228,440,359.973053,440,271.3096313,440,216.1873016,440,178.4404602,440,131.2249908,440,84.56297302,440,42.60336685,440,14.93755054,440,6.851855755,440,3.202515364,440,0.2980033755,
441.0599976,564.5761719,441.0599976,382.0436401,441.0599976,283.783783,441.0599976,227.8207245,441.0599976,187.149353,441.0599976,139.240509,441.0599976,87.85341644,441.0599976,44.24224854,441.0599976,14.96342468,441.0599976,7.043234348,441.0599976,3.121787786,441.0599976,0.2987214923,
441.9599915,596.9161987,441.9599915,397.3005981,441.9599915,298.610321,441.9599915,238.9994965,441.9599915,196.0128632,441.9599915,145.2646942,441.9599915,90.79092407,441.9599915,45.86323547,441.9599915,16.25135422,441.9599915,7.615535736,441.9599915,3.227115631,441.9599915,0.2411672473,
443.0299988,616.0875854,443.0299988,412.1876831,443.0299988,301.6298828,443.0299988,250.6693268,443.0299988,205.043396,443.0299988,151.8814087,443.0299988,95.35848236,443.0299988,48.70847321,443.0299988,16.98166847,443.0299988,7.466840744,443.0299988,3.105825186,443.0299988,0.1892903745,
443.9299927,628.6873779,443.9299927,430.7565613,443.9299927,322.5221558,443.9299927,259.2122498,443.9299927,210.4369965,443.9299927,157.4852142,443.9299927,98.97583771,443.9299927,49.87810135,443.9299927,17.62123108,443.9299927,7.876606464,443.9299927,3.418199062,443.9299927,0.1829082519,
445,663.2648926,445,450.7662354,445,335.148468,445,266.7020264,445,218.1039734,445,163.5026855,445,102.4295197,445,53.41939926,445,18.73664856,445,8.316895485,445,3.447604179,445,0.3206991255,
446.0599976,686.572998,446.0599976,459.9891663,446.0599976,348.6769714,446.0599976,278.2704773,446.0599976,227.2243195,446.0599976,168.3063354,446.0599976,106.1913681,446.0599976,54.71435165,446.0599976,19.47221565,446.0599976,8.707381248,446.0599976,3.727310181,446.0599976,0.277513504,
